M model,Adv Model,Dataset,Baseline,MM Results,Average MM,Net Gain,Avm Net Gain,Switched Correct,Switched Incorrect,T,Avg. iterations,Max iterations,Contradictions Corrected,,Notes,Model Parameters,Qwen3,Model,GPT,Model,Llama 3
70,,ETHICS Justice (2052) ,1779,1767,1771,-12,-8,57,69,0.2,3.56,10,23,,,,,,,,
,2052,2052,86.7,86.11,86.31,-0.58,-0.39,2.78,3.36,,,,,,,,,,,,
,,2052,1786,1771,1774,-15,-12,52,67,0.2,3.56,10,27,,,,,,,,
,,2052,87.04,86.31,86.45,-0.73,-0.58,2.53,3.27,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b,gpt-oss-20b,TruthfulQA (790),719,712,712,-7,-7,18,25,,3.95,0,1,27,,,,,,,
AVG ITER,790,790,91.01,90.13,90.13,-0.89,-0.89,2.28,3.16,,,,,,,,,,,,
4.42,,,,,,,,,,,,,,,,,,,,,
AVG ACC,,,,,,,,,,,,,,,,,,,,,
-2.06,,Scruples (2360),1634,1557,1568,-77,-66,213,290,,4.9,2,2,52,,,,,,,
MINROW,2360,,69.24,65.97,66.44,-3.26,-2.8,9.03,12.29,,,,,,,,,,,,
73,,CommonsenseQA 2.0 (2541),1976,1964,1961,-12,-15,161,173,,4.04,5,3,125,,,,,,,
MAXROW,2541,2541,77.76,77.29,77.17,-0.47,-0.59,6.34,6.81,,,,,,,,,,,,
84,,ETHICS Commonsense (3964),2883,2763,2744,-120,-139,256,376,,4.84,65,69,941,,,,,,,
,3964,3964,72.73,69.7,69.22,-3.03,-3.51,6.46,9.49,,,,,,,,,,,,
,,ETHICS Justice (2052),1605,1551,1574,-54,-31,83,137,,4.38,8,14,140,,,,,,,
,2052,2025,78.22,75.58,76.71,-2.63,-1.51,4.04,6.68,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b,gpt-oss-120b,TruthfulQA (790),745,749,749,4,4,13,9,,3.17,1,1,17,,,,,,,
AVG ITER,790,790,94.3,94.81,94.81,0.51,0.51,1.65,1.14,,,,,,,,,,,,
3.71,,,,,,,,,,,,,,,,,,,,,
AVG ACC,,,,,,,,,,,,,,,,,,,,,
0.09,,Scruples (2360),1531,1556,1565,25,34,346,321,,5,0,1,6,,,,,,,
MINROW,2360,,64.87,65.93,66.31,1.06,1.44,14.66,13.6,,,,,,,,,,,,
87,,CommonsenseQA 2.0 (2541),2090,2077,2080,-13,-10,86,99,,3.38,1,2,24,,,,,,,
MAXROW,2541,2541,82.25,81.74,81.86,-0.51,-0.39,3.38,3.9,,,,,,,,,,,,
98,,ETHICS Commonsense (3964),3079,3064,3072,-15,-7,164,179,,3.49,2,0,12,,,,,,,
,3964,3964,77.67,77.3,77.5,-0.38,-0.18,4.14,4.52,,,,,,,,,,,,
,,ETHICS Justice (2052),1695,1690,1697,-5,2,52,57,,3.49,0,1,2,,,,,,,
